time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
225,775.68,556.37249247,3808,860160,105,-0.03678920929014566,-18.754165089130403,0.21973876953125,0.017817685,18.083202268183232,5.1869378089904785,1.1589394807815552,1040,0.0003,0.2,0.9032464027404785
226,747.24,534.50039109,3832,868352,106,-0.0378097261665971,-18.781547355651856,0.2408447265625,0.020849144,13.364887897670268,7.4035186767578125,1.1618486642837524,1050,0.0003,0.2,0.8903337717056274
226,755.89,541.6415602,3864,876544,107,-0.03889206855201337,-18.81421308517456,0.247119140625,0.020788686,24.086853659152986,18.413854598999023,1.1658474206924438,1060,0.0003,0.2,0.8904544711112976
227,762.19,546.94909653,3894,884736,108,-0.04103623615228571,-18.84644980430603,0.3036376953125,0.02865677,14.106251199543475,7.72886323928833,1.1678754091262817,1070,0.0003,0.2,0.8992350101470947
227,782.55,563.03114636,3927,892928,109,-0.03897769109171349,-18.856656843423842,0.33681640625,0.029868562,12.653808778524398,6.072587490081787,1.1687110662460327,1080,0.0003,0.2,0.8838103413581848
227,771.9,555.0077075999999,3958,901120,110,-0.033427990856580436,-18.912066847085953,0.43909912109375,0.047921356,8.808762139081955,1.6847035884857178,1.1739598512649536,1090,0.0003,0.2,0.7672698497772217
227,771.86,555.9800879,3995,909312,111,-0.0351749023742741,-18.927386146783828,0.3786865234375,0.037687484,8.947176476567984,3.739389419555664,1.176089882850647,1100,0.0003,0.2,0.8684560060501099
227,783.55,568.12317382,4028,917504,112,-0.031406437569239644,-18.954515051841735,0.36800537109375,0.037445992,7.762254393100738,4.411823272705078,1.179174542427063,1110,0.0003,0.2,0.8324247598648071
228,763.79,553.05502513,4059,925696,113,-0.034472296727471985,-18.980374443531037,0.24161376953125,0.018166272,8.450632948428392,2.9938392639160156,1.1812376976013184,1120,0.0003,0.2,0.8763273358345032
228,767.08,556.41091039,4091,933888,114,-0.03034373134141788,-19.012157517671586,0.15587158203125,0.014166668,24.323424181342126,8.049266815185547,1.1853971481323242,1130,0.0003,0.2,0.8716988563537598
228,775.02,564.77555963,4122,942080,115,-0.03242723789298907,-19.06097478270531,0.1948486328125,0.016695147,14.987166386842727,5.67794942855835,1.1901839971542358,1140,0.0003,0.2,0.8712412118911743
